country_zip;country_code;country;zip;municipality;county;region;address_count
CZ-25168;CZ;Česko;25168;Křížkový Újezdec;Praha-východ;Středočeský kraj;131
CZ-25168;CZ;Česko;25168;Řehenice;Benešov;Středočeský kraj;29
CZ-25168;CZ;Česko;25168;Kamenice;Praha-východ;Středočeský kraj;2518
CZ-25168;CZ;Česko;25168;Týnec nad Sázavou;Benešov;Středočeský kraj;267
CZ-25168;CZ;Česko;25168;Kostelec u Křížků;Praha-východ;Středočeský kraj;369
CZ-25169;CZ;Česko;25169;Kunice;Praha-východ;Středočeský kraj;149
CZ-25169;CZ;Česko;25169;Petříkov;Praha-východ;Středočeský kraj;273
CZ-25169;CZ;Česko;25169;Velké Popovice;Praha-východ;Středočeský kraj;1315
CZ-25202;CZ;Česko;25202;Jíloviště;Praha-západ;Středočeský kraj;434
CZ-25203;CZ;Česko;25203;Líšnice;Praha-západ;Středočeský kraj;41
CZ-25203;CZ;Česko;25203;Řitka;Praha-západ;Středočeský kraj;616
CZ-25204;CZ;Česko;25204;Čisovice;Praha-západ;Středočeský kraj;587
CZ-25205;CZ;Česko;25205;Bratřínov;Praha-západ;Středočeský kraj;218
CZ-25205;CZ;Česko;25205;Hvozdnice;Praha-západ;Středočeský kraj;446
CZ-25206;CZ;Česko;25206;Davle;Praha-západ;Středočeský kraj;1188
CZ-25206;CZ;Česko;25206;Měchenice;Praha-západ;Středočeský kraj;539
CZ-25206;CZ;Česko;25206;Bojanovice;Praha-západ;Středočeský kraj;318
CZ-25206;CZ;Česko;25206;Petrov;Praha-západ;Středočeský kraj;435
CZ-25207;CZ;Česko;25207;Štěchovice;Praha-západ;Středočeský kraj;1349
CZ-25208;CZ;Česko;25208;Rabyně;Benešov;Středočeský kraj;450
CZ-25208;CZ;Česko;25208;Slapy;Praha-západ;Středočeský kraj;1253
CZ-25208;CZ;Česko;25208;Štěchovice;Praha-západ;Středočeský kraj;336
CZ-25208;CZ;Česko;25208;Buš;Praha-západ;Středočeský kraj;265
CZ-25209;CZ;Česko;25209;Hradištko;Praha-západ;Středočeský kraj;2404
CZ-25210;CZ;Česko;25210;Trnová;Praha-západ;Středočeský kraj;343
CZ-25210;CZ;Česko;25210;Zahořany;Praha-západ;Středočeský kraj;242
CZ-25210;CZ;Česko;25210;Kytín;Praha-západ;Středočeský kraj;531
CZ-25210;CZ;Česko;25210;Klínec;Praha-západ;Středočeský kraj;483
CZ-25210;CZ;Česko;25210;Voznice;Příbram;Středočeský kraj;103
CZ-25210;CZ;Česko;25210;Líšnice;Praha-západ;Středočeský kraj;606
CZ-25210;CZ;Česko;25210;Hvozdnice;Praha-západ;Středočeský kraj;13
CZ-25210;CZ;Česko;25210;Čisovice;Praha-západ;Středočeský kraj;250
CZ-25210;CZ;Česko;25210;Černolice;Praha-západ;Středočeský kraj;453
CZ-25210;CZ;Česko;25210;Mníšek pod Brdy;Praha-západ;Středočeský kraj;2051
CZ-25216;CZ;Česko;25216;Nučice;Praha-západ;Středočeský kraj;986
CZ-25217;CZ;Česko;25217;Chýnice;Praha-západ;Středočeský kraj;172
CZ-25217;CZ;Česko;25217;Tachlovice;Praha-západ;Středočeský kraj;340
CZ-25218;CZ;Česko;25218;Úhonice;Praha-západ;Středočeský kraj;515
CZ-25218;CZ;Česko;25218;Ptice;Praha-západ;Středočeský kraj;530
CZ-25219;CZ;Česko;25219;Rudná;Praha-západ;Středočeský kraj;1580
CZ-25219;CZ;Česko;25219;Chrášťany;Praha-západ;Středočeský kraj;249
CZ-25219;CZ;Česko;25219;Drahelčice;Praha-západ;Středočeský kraj;557
CZ-25225;CZ;Česko;25225;Dobříč;Praha-západ;Středočeský kraj;143
CZ-25225;CZ;Česko;25225;Jinočany;Praha-západ;Středočeský kraj;485
CZ-25225;CZ;Česko;25225;Ořech;Praha-západ;Středočeský kraj;462
CZ-25225;CZ;Česko;25225;Zbuzany;Praha-západ;Středočeský kraj;453
CZ-25226;CZ;Česko;25226;Roblín;Praha-západ;Středočeský kraj;123
CZ-25226;CZ;Česko;25226;Černošice;Praha-západ;Středočeský kraj;16
CZ-25226;CZ;Česko;25226;Choteč;Praha-západ;Středočeský kraj;167
CZ-25226;CZ;Česko;25226;Kosoř;Praha-západ;Středočeský kraj;376
CZ-25226;CZ;Česko;25226;Třebotov;Praha-západ;Středočeský kraj;502
CZ-25226;CZ;Česko;25226;Praha;území Hlavního města Prahy;Hlavní město Praha;8
CZ-25228;CZ;Česko;25228;Praha;území Hlavního města Prahy;Hlavní město Praha;75
CZ-25228;CZ;Česko;25228;Vonoklasy;Praha-západ;Středočeský kraj;295
CZ-25228;CZ;Česko;25228;Černošice;Praha-západ;Středočeský kraj;3372
CZ-25228;CZ;Česko;25228;Třebotov;Praha-západ;Středočeský kraj;180
CZ-25229;CZ;Česko;25229;Dobřichovice;Praha-západ;Středočeský kraj;1207
CZ-25229;CZ;Česko;25229;Lety;Praha-západ;Středočeský kraj;738
CZ-25229;CZ;Česko;25229;Karlík;Praha-západ;Středočeský kraj;231
CZ-25230;CZ;Česko;25230;Lety;Praha-západ;Středočeský kraj;105
CZ-25230;CZ;Česko;25230;Hlásná Třebaň;Beroun;Středočeský kraj;46
CZ-25230;CZ;Česko;25230;Řevnice;Praha-západ;Středočeský kraj;1456
CZ-25231;CZ;Česko;25231;Všenory;Praha-západ;Středočeský kraj;975
CZ-25241;CZ;Česko;25241;Zlatníky-Hodkovice;Praha-západ;Středočeský kraj;517
CZ-25241;CZ;Česko;25241;Libeř;Praha-západ;Středočeský kraj;805
CZ-25241;CZ;Česko;25241;Dolní Břežany;Praha-západ;Středočeský kraj;1462
CZ-25242;CZ;Česko;25242;Jesenice;Praha-západ;Středočeský kraj;2874
CZ-25243;CZ;Česko;25243;Průhonice;Praha-západ;Středočeský kraj;1017
CZ-25244;CZ;Česko;25244;Psáry;Praha-západ;Středočeský kraj;2027
CZ-25245;CZ;Česko;25245;Ohrobec;Praha-západ;Středočeský kraj;831
CZ-25245;CZ;Česko;25245;Vrané nad Vltavou;Praha-západ;Středočeský kraj;59
CZ-25245;CZ;Česko;25245;Zvole;Praha-západ;Středočeský kraj;846
CZ-25245;CZ;Česko;25245;Březová-Oleško;Praha-západ;Středočeský kraj;1327
CZ-25246;CZ;Česko;25246;Vrané nad Vltavou;Praha-západ;Středočeský kraj;1182
CZ-25246;CZ;Česko;25246;Ohrobec;Praha-západ;Středočeský kraj;56
CZ-25246;CZ;Česko;25246;Dolní Břežany;Praha-západ;Středočeský kraj;181
CZ-25250;CZ;Česko;25250;Vestec;Praha-západ;Středočeský kraj;737
CZ-25261;CZ;Česko;25261;Dobrovíz;Praha-západ;Středočeský kraj;251
CZ-25261;CZ;Česko;25261;Jeneč;Praha-západ;Středočeský kraj;462
CZ-25262;CZ;Česko;25262;Horoměřice;Praha-západ;Středočeský kraj;1296
CZ-25262;CZ;Česko;25262;Statenice;Praha-západ;Středočeský kraj;832
CZ-25262;CZ;Česko;25262;Únětice;Praha-západ;Středočeský kraj;303
CZ-25263;CZ;Česko;25263;Roztoky;Praha-západ;Středočeský kraj;2462
CZ-25264;CZ;Česko;25264;Svrkyně;Praha-západ;Středočeský kraj;137
CZ-25264;CZ;Česko;25264;Okoř;Praha-západ;Středočeský kraj;112
CZ-25264;CZ;Česko;25264;Úholičky;Praha-západ;Středočeský kraj;295
CZ-25264;CZ;Česko;25264;Velké Přílepy;Praha-západ;Středočeský kraj;1062
CZ-25264;CZ;Česko;25264;Lichoceves;Praha-západ;Středočeský kraj;175
CZ-25265;CZ;Česko;25265;Holubice;Praha-západ;Středočeský kraj;524
CZ-25265;CZ;Česko;25265;Tursko;Praha-západ;Středočeský kraj;314
CZ-25266;CZ;Česko;25266;Máslovice;Praha-východ;Středočeský kraj;3
CZ-25266;CZ;Česko;25266;Libčice nad Vltavou;Praha-západ;Středočeský kraj;910
CZ-25267;CZ;Česko;25267;Tuchoměřice;Praha-západ;Středočeský kraj;623
CZ-25268;CZ;Česko;25268;Číčovice;Praha-západ;Středočeský kraj;133
CZ-25268;CZ;Česko;25268;Kněževes;Praha-západ;Středočeský kraj;232
CZ-25268;CZ;Česko;25268;Středokluky;Praha-západ;Středočeský kraj;411
CZ-25281;CZ;Česko;25281;Petrov;Praha-západ;Středočeský kraj;692
CZ-25282;CZ;Česko;25282;Kamenný Přívoz;Praha-západ;Středočeský kraj;1641
CZ-25301;CZ;Česko;25301;Hostivice;Praha-západ;Středočeský kraj;2380
CZ-25303;CZ;Česko;25303;Chýně;Praha-západ;Středočeský kraj;1137
CZ-25401;CZ;Česko;25401;Jílové u Prahy;Praha-západ;Středočeský kraj;2895
CZ-25401;CZ;Česko;25401;Libeř;Praha-západ;Středočeský kraj;2
CZ-25401;CZ;Česko;25401;Okrouhlo;Praha-západ;Středočeský kraj;520
CZ-25401;CZ;Česko;25401;Petrov;Praha-západ;Středočeský kraj;123
CZ-25401;CZ;Česko;25401;Pohoří;Praha-západ;Středočeský kraj;556
CZ-25601;CZ;Česko;25601;Václavice;Benešov;Středočeský kraj;226
CZ-25601;CZ;Česko;25601;Chlístov;Benešov;Středočeský kraj;203
CZ-25601;CZ;Česko;25601;Chrášťany;Benešov;Středočeský kraj;64
CZ-25601;CZ;Česko;25601;Teplýšovice;Benešov;Středočeský kraj;271
CZ-25601;CZ;Česko;25601;Bílkovice;Benešov;Středočeský kraj;46
CZ-25601;CZ;Česko;25601;Struhařov;Benešov;Středočeský kraj;495
CZ-25601;CZ;Česko;25601;Benešov;Benešov;Středočeský kraj;2729
CZ-25601;CZ;Česko;25601;Petroupim;Benešov;Středočeský kraj;153
CZ-25601;CZ;Česko;25601;Bystřice;Benešov;Středočeský kraj;281
CZ-25601;CZ;Česko;25601;Čakov;Benešov;Středočeský kraj;12
CZ-25601;CZ;Česko;25601;Soběhrdy;Benešov;Středočeský kraj;244
CZ-25601;CZ;Česko;25601;Neveklov;Benešov;Středočeský kraj;2
CZ-25601;CZ;Česko;25601;Kozmice;Benešov;Středočeský kraj;217
CZ-25701;CZ;Česko;25701;Chotýšany;Benešov;Středočeský kraj;189
CZ-25701;CZ;Česko;25701;Postupice;Benešov;Středočeský kraj;860
CZ-25701;CZ;Česko;25701;Veliš;Benešov;Středočeský kraj;46
CZ-25701;CZ;Česko;25701;Popovice;Benešov;Středočeský kraj;229
CZ-25703;CZ;Česko;25703;Bystřice;Benešov;Středočeský kraj;56
CZ-25703;CZ;Česko;25703;Jankov;Benešov;Středočeský kraj;464
CZ-25703;CZ;Česko;25703;Neustupov;Benešov;Středočeský kraj;79
CZ-25703;CZ;Česko;25703;Ratměřice;Benešov;Středočeský kraj;170
CZ-25703;CZ;Česko;25703;Popovice;Benešov;Středočeský kraj;13
CZ-25706;CZ;Česko;25706;Ostrov;Benešov;Středočeský kraj;58
CZ-25706;CZ;Česko;25706;Kamberk;Benešov;Středočeský kraj;177
CZ-25706;CZ;Česko;25706;Zvěstov;Benešov;Středočeský kraj;306
CZ-25706;CZ;Česko;25706;Louňovice pod Blaníkem;Benešov;Středočeský kraj;352
CZ-25706;CZ;Česko;25706;Veliš;Benešov;Středočeský kraj;106
CZ-25708;CZ;Česko;25708;Načeradec;Benešov;Středočeský kraj;722
CZ-25708;CZ;Česko;25708;Pravonín;Benešov;Středočeský kraj;149
CZ-25709;CZ;Česko;25709;Pravonín;Benešov;Středočeský kraj;161
CZ-25709;CZ;Česko;25709;Vracovice;Benešov;Středočeský kraj;1
CZ-25721;CZ;Česko;25721;Mrač;Benešov;Středočeský kraj;517
CZ-25721;CZ;Česko;25721;Poříčí nad Sázavou;Benešov;Středočeský kraj;741
CZ-25721;CZ;Česko;25721;Bukovany;Benešov;Středočeský kraj;2
CZ-25722;CZ;Česko;25722;Pyšely;Benešov;Středočeský kraj;156
CZ-25722;CZ;Česko;25722;Lštění;Benešov;Středočeský kraj;705
CZ-25722;CZ;Česko;25722;Vranov;Benešov;Středočeský kraj;307
